Kilometre,Marka,Model_Yili,Motor_Hacmi,Vites_Tipi,Yakit_Turu,Cekis_Tipi,Fiyat
127.063,7,2014,16.0,0,0,1,725000.0
235.838,9,2011,14.0,0,0,1,485000.0
68.869,18,2021,15.0,2,0,1,1290000.0
124.9,8,2019,16.0,1,0,1,1085000.0
62.372,18,2021,15.0,2,0,1,1240000.0
102.577,15,2017,16.0,1,1,1,940000.0
112.387,17,2010,16.0,1,0,1,565000.0
145.562,7,2018,15.0,2,1,1,855000.0
66.876,4,2021,15.0,0,1,1,635000.0
92.0,15,2016,14.0,1,0,1,815000.0
113.361,5,2018,15.0,2,1,1,830000.0
136.215,5,2018,15.0,2,1,1,855000.0
88.394,4,2021,12.0,1,0,1,926000.0
78.38,2,2020,16.0,1,0,0,1950000.0
61.521,7,2021,1.0,2,0,1,1200000.0
32.991,21,2022,15.0,2,0,1,1600000.0
28.85,1,2021,15.0,2,0,1,1596000.0
32.962,21,2022,1.0,2,0,1,1310000.0
12.796,8,2022,15.0,1,0,1,1715000.0
91.484,21,2020,16.0,2,1,1,1395000.0
83.565,15,2021,15.0,1,1,1,1284000.0
29.483,15,2022,12.0,1,0,1,1360000.0
79.9,17,2021,13.0,2,0,1,914000.0
67.0,15,2022,15.0,0,1,1,795000.0
30.143,1,2021,15.0,2,0,1,1877000.0
30.475,1,2021,15.0,2,0,1,2053000.0
158.49,16,2019,15.0,1,1,1,855000.0
98.05,4,2019,12.0,1,0,1,790000.0
106.1,15,2020,12.0,1,0,1,774000.0
74.875,20,2020,18.0,1,3,1,865000.0
136.596,11,2014,16.0,1,0,1,790000.0
84.027,21,2020,16.0,2,1,1,827000.0
81.177,17,2020,15.0,2,1,1,807000.0
217.8,6,2019,12.0,0,1,1,625000.0
41.622,7,2020,15.0,1,0,1,1305000.0
97.1,17,2018,15.0,2,1,1,860000.0
89.883,21,2015,14.0,0,0,1,900000.0
113.668,12,2018,16.0,1,1,0,1860000.0
94.0,20,2019,18.0,1,3,1,880000.0
89.074,19,2018,16.0,2,1,1,827000.0
69.623,16,2016,12.0,1,0,1,750000.0
114.962,11,2017,16.0,1,0,1,940000.0
69.0,18,2013,12.0,2,0,1,698000.0
64.949,16,2019,15.0,1,1,1,1171000.0
78.838,19,2021,15.0,2,0,1,1570000.0
82.393,21,2019,16.0,2,1,1,778500.0
111.41,21,2020,16.0,2,1,1,756000.0
39.734,21,2017,12.0,2,0,1,729000.0
66.296,14,2018,12.0,1,0,1,870000.0
84.65,7,2018,15.0,0,1,1,684000.0
212.575,12,2011,16.0,1,0,0,1098000.0
73.386,7,2018,15.0,2,1,1,999000.0
152.49,17,2014,15.0,0,1,1,630500.0
79.187,17,2017,15.0,2,1,1,951000.0
148.502,7,2018,15.0,1,1,1,875000.0
110.468,9,2014,16.0,1,0,1,785000.0
147.098,16,2019,15.0,1,1,1,1138000.0
47.421,20,2021,15.0,1,0,1,803000.0
96.164,15,2013,14.0,1,0,1,600000.0
100.944,15,2016,16.0,1,1,1,848000.0
165.735,1,2017,16.0,2,1,1,1079000.0
58.737,7,2018,15.0,1,1,1,990000.0
110.2,17,2017,15.0,2,1,1,999000.0
115.0,15,2016,16.0,1,1,1,939000.0
162.166,7,2012,1.0,0,0,1,600000.0
77.105,21,2020,15.0,2,0,1,1187000.0
122.496,18,2018,16.0,2,1,1,816000.0
71.929,2,2021,16.0,1,0,0,2458000.0
75.642,19,2021,15.0,2,0,1,1177000.0
59.965,16,2021,15.0,1,1,1,1505000.0
141.098,14,2013,16.0,1,0,1,839000.0
103.399,21,2020,16.0,2,1,1,795000.0
97.472,21,2018,16.0,0,1,1,982000.0
16.985,17,2022,1.0,1,0,1,830000.0
103.0,1,2019,16.0,2,1,1,1259000.0
78.884,21,2020,1.0,2,0,1,839000.0
101.355,20,2019,18.0,1,3,1,1064000.0
82.35,21,2021,15.0,2,0,1,1300000.0
77.116,6,2019,16.0,2,1,1,782000.0
59.728,17,2021,15.0,2,1,1,920000.0
40.246,6,2021,12.0,0,1,1,690000.0
67.542,17,2019,15.0,0,1,1,679000.0
101.935,5,2019,15.0,0,1,1,709000.0
127.447,7,2019,15.0,0,1,1,679000.0
34.167,7,2020,15.0,1,0,1,1405000.0
66.3,16,2019,15.0,1,1,1,1350000.0
87.3,17,2017,15.0,0,1,1,625000.0
13.787,16,2022,16.0,1,0,1,1695000.0
76.151,2,2021,15.0,2,0,1,1488000.0
78.521,2,2021,16.0,1,0,0,2322000.0
71.839,15,2020,16.0,1,1,1,1128000.0
63.487,2,2021,16.0,1,0,0,2477000.0
65.197,2,2021,16.0,1,0,0,2451000.0
23.64,17,2019,13.0,0,0,1,770000.0
18.161,8,2020,15.0,0,0,1,930000.0
46.365,17,2021,13.0,0,0,1,785000.0
75.122,2,2021,16.0,1,0,0,1893000.0
183.328,7,2015,15.0,2,1,1,680000.0
74.94,2,2021,16.0,1,0,0,2525000.0
95.039,14,2016,16.0,1,1,1,901000.0
77.953,17,2020,15.0,2,1,1,835000.0
94.703,21,2020,16.0,2,1,1,777000.0
111.506,21,2019,16.0,2,1,1,752500.0
77.77,16,2019,15.0,1,1,1,1445000.0
60.522,17,2019,15.0,2,1,1,815000.0
118.143,11,2015,16.0,1,0,1,837000.0
90.482,6,2012,13.0,0,1,1,530000.0
51.515,16,2020,15.0,0,1,1,705000.0
57.943,16,2020,15.0,0,1,1,720000.0
79.976,12,2021,16.0,1,1,0,1975000.0
69.373,2,2021,16.0,1,0,0,1805000.0
83.24,12,2021,16.0,1,1,0,1968000.0
48.881,16,2021,15.0,1,1,1,1446000.0
67.951,15,2021,12.0,1,0,1,1121000.0
57.891,22,2021,15.0,1,0,1,1754000.0
87.44,12,2021,16.0,1,1,0,1902000.0
128.471,11,2015,16.0,1,0,1,828000.0
123.187,21,2017,14.0,2,0,1,1060000.0
99.313,20,2013,13.0,1,0,1,658500.0
68.539,2,2021,16.0,1,0,0,2419000.0
155.925,8,2019,16.0,1,1,1,911000.0
62.602,2,2021,16.0,1,0,0,2461000.0
107.947,7,2018,15.0,1,1,1,906000.0
75.01,17,2020,15.0,2,1,1,805000.0
64.419,22,2021,15.0,1,0,1,1745000.0
55.87,18,2021,15.0,2,0,1,1140000.0
67.202,19,2021,15.0,2,0,1,1622000.0
45.351,6,2022,16.0,2,1,1,817000.0
124.165,19,2012,16.0,0,1,1,624000.0
41.898,18,2020,16.0,2,1,1,1014000.0
123.025,14,2012,16.0,1,0,1,790000.0
74.919,7,2021,15.0,1,1,1,1026000.0
66.472,12,2021,16.0,1,1,0,1914000.0
123.469,7,2020,15.0,0,1,1,655000.0
68.98,7,2022,15.0,1,1,1,1338000.0
78.068,7,2021,15.0,1,1,1,1093000.0
75.961,2,2021,16.0,1,0,0,1777000.0
51.706,16,2021,15.0,1,1,1,1439000.0
72.35,17,2021,15.0,2,1,1,847000.0
90.842,0,2018,16.0,1,1,1,839000.0
51.365,7,2020,15.0,1,1,1,1130000.0
64.695,2,2021,16.0,1,0,0,1849000.0
56.856,16,2021,15.0,1,1,1,1434000.0
70.481,12,2021,16.0,1,1,0,1869000.0
160.5,4,2017,16.0,0,1,1,625000.0
119.921,17,2019,15.0,2,1,1,785000.0
71.246,20,2021,18.0,1,3,1,888000.0
69.044,20,2021,18.0,1,3,1,870000.0
63.439,9,2020,16.0,2,1,1,942000.0
80.357,17,2021,15.0,2,1,1,888000.0
66.522,12,2021,16.0,1,1,0,1903000.0
79.315,7,2020,15.0,0,1,1,674500.0
66.735,19,2021,15.0,2,0,1,1181000.0
69.758,15,2021,12.0,1,0,1,1072000.0
84.644,21,2020,16.0,2,1,1,811000.0
63.467,2,2021,16.0,1,0,0,2268000.0
72.02,18,2021,15.0,2,0,1,1154000.0
69.919,19,2021,15.0,2,0,1,1211000.0
63.875,16,2021,15.0,1,1,1,1339000.0
139.623,7,2019,15.0,1,1,1,917000.0
51.417,16,2021,15.0,1,1,1,1494000.0
55.316,16,2021,15.0,1,1,1,1408000.0
78.228,19,2020,15.0,2,0,1,1279000.0
65.51,12,2021,16.0,1,1,0,1904000.0
27.962,6,2020,16.0,2,1,1,784000.0
45.691,16,2021,15.0,1,1,1,1496000.0
45.244,2,2022,15.0,1,1,1,2029000.0
34.018,2,2022,15.0,1,1,1,2055000.0
64.477,17,2020,15.0,2,1,1,865000.0
89.038,19,2020,15.0,2,0,1,1077000.0
57.387,15,2021,12.0,1,0,1,1098000.0
51.809,7,2022,15.0,1,1,1,1271000.0
45.836,2,2022,15.0,1,1,1,2029000.0
66.025,17,2021,15.0,2,1,1,812000.0
54.084,7,2022,15.0,1,1,1,1362000.0
57.466,2,2021,16.0,1,0,0,2379000.0
59.31,7,2020,15.0,1,1,1,1199000.0
71.42,8,2021,15.0,1,0,1,1119000.0
147.294,7,2004,16.0,0,0,1,465000.0
60.317,19,2021,15.0,2,0,1,1679000.0
71.17,6,2021,16.0,0,1,1,677000.0
89.002,21,2020,16.0,2,1,1,1405000.0
56.721,19,2020,15.0,2,0,1,1402000.0
69.431,6,2020,16.0,2,1,1,922000.0
99.373,2,2014,2.0,1,0,0,2550000.0
68.933,22,2021,15.0,1,0,1,1745000.0
44.842,7,2022,15.0,0,1,1,672000.0
64.665,22,2021,15.0,1,0,1,1737000.0
67.438,6,2020,13.0,2,0,1,908000.0
51.437,7,2022,15.0,1,1,1,1394000.0
56.337,16,2021,15.0,1,1,1,1488000.0
59.551,19,2021,15.0,2,0,1,1583000.0
50.566,10,2022,13.0,2,0,1,1069000.0
55.783,4,2021,15.0,1,1,1,1348000.0
53.688,7,2022,15.0,1,1,1,1173000.0
11.903,6,2022,12.0,0,1,1,820000.0
18.382,6,2020,16.0,2,1,1,772500.0
66.461,6,2020,13.0,2,0,1,950000.0
78.231,1,2021,15.0,2,0,1,1279000.0
79.811,7,2021,15.0,1,1,1,1114000.0
75.805,12,2020,16.0,1,1,0,1807000.0
70.453,7,2021,15.0,1,1,1,1111000.0
76.945,15,2020,16.0,1,1,1,1197000.0
81.516,19,2020,15.0,2,0,1,1299000.0
63.583,18,2021,15.0,2,0,1,1088000.0
51.344,7,2022,15.0,1,1,1,1337000.0
90.392,7,2020,15.0,1,1,1,1217000.0
58.696,15,2021,12.0,1,0,1,1129000.0
50.061,10,2022,13.0,2,0,1,1069000.0
49.304,7,2022,15.0,1,1,1,1397000.0
50.545,4,2021,15.0,0,1,1,578500.0
141.634,7,2018,15.0,1,1,1,891000.0
55.576,15,2021,12.0,1,0,1,1132000.0
43.902,7,2022,15.0,1,1,1,1389000.0
81.077,2,2021,16.0,1,0,0,1764000.0
59.756,2,2021,16.0,1,0,0,1765000.0
81.53,7,2022,15.0,1,1,1,1140000.0
68.922,2,2021,16.0,1,0,0,1804000.0
176.162,2,2018,15.0,1,0,0,1262000.0
49.457,6,2022,15.0,2,0,1,781000.0
63.56,7,2020,15.0,1,1,1,1300000.0
73.151,16,2019,15.0,1,1,1,1200000.0
66.11,2,2021,16.0,1,0,0,2431000.0
65.933,20,2021,18.0,1,3,1,875000.0
95.9,15,2013,14.0,1,0,1,785000.0
43.16,21,2022,15.0,2,0,1,1258000.0
39.648,16,2021,15.0,1,1,1,1489000.0
83.093,19,2019,16.0,2,1,1,832000.0
51.44,7,2022,15.0,1,1,1,1376000.0
61.205,2,2021,16.0,1,0,0,1838000.0
47.813,16,2021,15.0,1,1,1,1499000.0
88.61,21,2017,14.0,2,0,1,1026000.0
69.77,2,2021,16.0,1,0,0,1813000.0
52.365,7,2022,15.0,1,1,1,1391000.0
64.127,22,2021,15.0,1,0,1,1690000.0
76.737,17,2019,15.0,2,1,1,822000.0
76.258,7,2020,15.0,1,1,1,1000000.0
89.738,7,2020,15.0,0,1,1,701000.0
78.992,2,2021,16.0,1,0,0,1797000.0
56.267,16,2021,15.0,1,1,1,1486000.0
