Kilometre,Marka,Model,Model Yılı,Motor Hacmi,Plaka,Renk,Ruhsat Cins ,Ruhsat Tip,Varyant,Vites Tipi,Yakıt Türü,Yetki Belge No,Çekiş Tipi,url,price
127.063,FORD,FOCUS,2014.0,"1,6",38HY236,Beyaz,OTOMOBİL(AA SEDAN) ,DYB,TITANIUM 1.6I 125PS 4K,Manuel,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/benzin/titanium-16i-125ps-4k-3345593,725.000 TL
235.838,HYUNDAI,I20,2011.0,"1,4",50EC546,Kırmızı,OTOMOBİL(AB HEÇBEK) ,PBT LPG Lİ,1.4 CVVT TEAM,Manuel,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-hyundai/i20/benzin/14-cvvt-team-3345468,485.000 TL
68.869,SEAT,ATECA,2021.0,"1,5",34EAU719,Gri,OTOMOBİL(AC STATION) ,5FP,1.5 ECOTSI ACT 150 HP DSG S&S XPERIENCE,Yarı Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-seat/ateca/benzin/15-ecotsi-act-150-hp-dsg-ss-xperience-3271462,1.290.000 TL
124.9,HONDA,CIVIC,2019.0,"1,6",34CGE158,Beyaz,OTOMOBİL(AA SEDAN) ,FK,1.6 EXECUTIVE CVT,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-honda/civic/benzin/16-executive-cvt-3350825,1.085.000 TL
62.372,SEAT,ATECA,2021.0,"1,5",34EIT261,Gri,OTOMOBİL(AC STATION) ,5FP,1.5 ECOTSI ACT 150 HP DSG S&S XPERIENCE,Yarı Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-seat/ateca/benzin/15-ecotsi-act-150-hp-dsg-ss-xperience-3282377,1.240.000 TL
102.577,OPEL,GRANDLAND X,2017.0,"1,6",34BDY540,Gri,OTOMOBİL (AF ÇOK AMAÇLI) ,Z,1.6 DIESEL 120 HP ENJOY AUTO,Otomatik,Dizel,2000129.0,Önden,https://www.otokocikinciel.com/ikinci-el-opel/grandland-x/dizel/16-diesel-120-hp-enjoy-auto-3352742,940.000 TL
112.387,RENAULT,MEGANE,2010.0,"1,6",54AFU021,Siyah,OTOMOBİL(AA SEDAN) ,MEGANE,II 1.6 16V EXPRESSION BVA EU4,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/benzin/ii-16-16v-expression-bva-eu4-3352126,565.000 TL
145.562,FORD,FOCUS,2018.0,"1,5",34BTM560,Buz Beyazı+K.Gri Kumaş,OTOMOBİL (AA SEDAN) ,DYB,1.5L TDCI 120PS EU6 4K PWS TITANIUM,Yarı Otomatik,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/15l-tdci-120ps-eu6-4k-pws-titanium-3216644,855.000 TL
66.876,CITROEN,C-ELYSEE,2021.0,"1,5",34ECF458,Gri,OTOMOBİL(AA SEDAN) ,D,FEEL 1.5 BLUEHDI 100HP,Manuel,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-citroen/c-elysee/dizel/feel-15-bluehdi-100hp-3353959,635.000 TL
92.0,OPEL,ASTRA,2016.0,"1,4",38AFZ526,Kırmızı,OTOMOBİL(AB HEÇBEK) ,B-K,HB 1.4 150 HP AT6 S&S ENJOY,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-opel/astra/benzin/hb-14-150-hp-at6-ss-enjoy-3350838,815.000 TL
113.361,DACIA,DUSTER,2018.0,"1,5",34BEJ202,Beyaz,(OTOMOBİL(AC STATİON) ,SR,PRESTIGE 1.5 dCi 110 BG EDC 4x2,Yarı Otomatik,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-dacia/duster/dizel/prestige-15-dci-110-bg-edc-4x2-3352202,830.000 TL
136.215,DACIA,DUSTER,2018.0,"1,5",34BEH973,Beyaz,OTOMOBİL (AC STEYŞIN) ,SR,PRESTIGE 1.5 dCi 110 BG EDC 4x2,Yarı Otomatik,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-dacia/duster/dizel/prestige-15-dci-110-bg-edc-4x2-3352206,855.000 TL
